Role,Domain,Aliases,Description,Skills,Education,Experience_Min,Experience_Max,Keywords
Photojournalist,Journalism,"News Photographer|Press Photographer|Documentary Photographer|Media Photographer","Capture newsworthy photographs, events, people, and stories for newspapers, magazines, digital platforms, and agencies","Photography,Photo Editing,Visual Storytelling,Camera Handling,News Sense,Field Reporting,Adobe Lightroom,Photoshop,Communication,Ethics",Photojournalism Course|BJMC|Mass Communication|Photography Diploma|Any Graduate,0,12,"photojournalism,press photographer,news photography,media photographer,visual journalism"
Video Journalist,Journalism,"VJ|Multimedia Journalist|Broadcast Reporter|Field Reporter","Shoot, report, edit, and produce video news stories for television, digital news platforms, and social media","Video Reporting,Camera Handling,Video Editing,Script Writing,Interviewing,Field Reporting,Premiere Pro,Final Cut Pro,Storytelling,Live Reporting",BJMC|Mass Communication|Film Studies|Video Editing Course|Any Graduate,0,10,"video journalism,VJ,multimedia journalist,broadcast reporter,field reporting"
Investigative Journalist,Journalism,"Investigative Reporter|Special Correspondent|Crime Reporter|Research Reporter","Investigate complex stories, collect evidence, verify facts, interview sources, and report public interest issues","Investigative Reporting,Research,Fact Checking,Interviewing,Data Analysis,Source Development,Legal Awareness,Media Ethics,Writing,Current Affairs",MA Journalism|BJMC|Mass Communication|Law|Political Science,3,15,"investigative journalism,investigative reporter,crime reporting,research journalism,public interest"
Sports Journalist,Journalism,"Sports Reporter|Sports Correspondent|Sports Writer|Sports Anchor","Report, write, and present sports news, match updates, interviews, analysis, and event coverage","Sports Knowledge,Reporting,Writing,Interviewing,Live Updates,Commentary,Research,Editing,Social Media,Communication,Data Analysis",BJMC|Mass Communication|Sports Management|Any Graduate,0,10,"sports journalism,sports reporter,sports writer,sports news,match coverage"
Political Journalist,Journalism,"Political Reporter|Political Correspondent|Parliament Reporter|Current Affairs Reporter","Cover political news, elections, government policies, public affairs, debates, and political interviews","Political Knowledge,Current Affairs,Reporting,Interviewing,Research,Fact Checking,Writing,Media Ethics,Communication,Policy Understanding",BJMC|MA Journalism|Political Science|Mass Communication|Any Graduate,1,12,"political journalism,political reporter,election coverage,current affairs,policy news"
Digital Journalist,Journalism,"Online Journalist|Web Journalist|Social Media Journalist|Digital Reporter","Create and publish news stories, live updates, explainers, and multimedia content for digital platforms and social media","Digital Media,SEO,News Writing,Social Media,Content Management Systems,Research,Fact Checking,Analytics,Multimedia Storytelling,WordPress",BJMC|Mass Communication|Digital Media Course|Any Graduate,0,10,"digital journalism,online journalism,web journalist,social media news,digital reporter"
IT Support Engineer,Information Technology,"Technical Support Engineer|Desktop Support Engineer|Helpdesk Engineer|IT Support Specialist","Provide technical support for hardware, software, networks, operating systems, printers, email, and user issues","Troubleshooting,Windows,Linux,MS Office,Hardware,Software Installation,Networking,TCP/IP,DNS,DHCP,Printer Support,Email Support,Remote Support,Ticketing Tools",BTech Computer Science|BCA|MCA|Diploma IT|BSc IT,0,8,"IT support,technical support,desktop support,helpdesk,hardware,software,network troubleshooting"
System Administrator,Information Technology,"SysAdmin|Server Administrator|Windows Administrator|Linux Administrator","Manage servers, operating systems, users, backups, security updates, system performance, and IT infrastructure","Windows Server,Linux,Active Directory,User Management,Backup,Patch Management,Shell Scripting,PowerShell,Virtualization,VMware,Networking,Security",BTech Computer Science|BCA|MCA|BSc IT|Diploma IT,1,10,"system administrator,sysadmin,server admin,windows admin,linux admin,IT infrastructure"
Network Administrator,Information Technology,"Network Admin|Network Support Engineer|LAN Administrator|Network Engineer","Install, configure, monitor, and maintain LAN, WAN, routers, switches, firewalls, and network connectivity","Networking,TCP/IP,DNS,DHCP,Routing,Switching,LAN,WAN,VLAN,Firewall,VPN,Cisco,Network Monitoring,Troubleshooting",BTech Computer Science|BCA|MCA|BSc IT|CCNA|Diploma Networking,1,10,"network administrator,network admin,LAN,WAN,router,switch,firewall,network support"
Database Administrator,Information Technology,"DBA|SQL Administrator|Database Manager|Database Engineer","Manage databases, backups, security, performance tuning, data recovery, and database availability","SQL,MySQL,PostgreSQL,Oracle,MS SQL Server,Database Backup,Database Recovery,Performance Tuning,Indexing,Security,Stored Procedures,Data Migration",BTech Computer Science|BCA|MCA|BSc IT|Database Certification,1,12,"database administrator,DBA,SQL admin,database management,backup,recovery,performance tuning"
IT Manager,Information Technology,"Information Technology Manager|IT Operations Manager|IT Infrastructure Manager|Technology Manager","Manage IT teams, systems, infrastructure, vendors, budgets, security, support operations, and technology planning","IT Management,IT Infrastructure,Team Management,Vendor Management,Budgeting,Networking,System Administration,Cybersecurity,Project Management,ITIL,Leadership,Communication",BTech Computer Science|MCA|MBA IT|MTech Computer Science|BSc IT,5,15,"IT manager,information technology manager,IT operations,IT infrastructure,technology management"
IT Executive,Information Technology,"IT Officer|IT Coordinator|IT Operations Executive|IT Administrator","Support daily IT operations, user support, asset management, software installation, system maintenance, and documentation","IT Operations,Troubleshooting,Hardware,Software Installation,Windows,Networking,Asset Management,MS Office,Documentation,Email Support,Vendor Coordination",BCA|BSc IT|Diploma IT|BTech Computer Science|Any Graduate,0,6,"IT executive,IT officer,IT coordinator,IT operations,asset management,technical support"
Hardware Engineer,Information Technology,"Computer Hardware Engineer|Hardware Support Engineer|Desktop Engineer|Field Support Engineer","Install, repair, maintain, and troubleshoot computer hardware, desktops, laptops, printers, and peripherals","Computer Hardware,Desktop Support,Laptop Repair,Printer Support,Component Replacement,Troubleshooting,Operating Systems,Networking Basics,Preventive Maintenance,Field Support",Diploma IT|Diploma Hardware Networking|BCA|BSc IT|BTech Computer Science,0,8,"hardware engineer,computer hardware,desktop engineer,laptop repair,printer support,field support"
Software Tester,Information Technology,"QA Tester|Manual Tester|Quality Analyst|Test Engineer","Test software applications, identify bugs, prepare test cases, report defects, and verify software quality","Manual Testing,Test Cases,Bug Reporting,SDLC,STLC,Regression Testing,Functional Testing,Agile,Jira,SQL,API Testing,Basic Automation Testing",BTech Computer Science|BCA|MCA|BSc IT|Software Testing Certification,0,8,"software tester,QA tester,manual testing,test cases,bug reporting,quality analyst"
Computer Operator,Information Technology,"Data Processing Operator|System Operator|Office Computer Operator|EDP Operator","Operate computer systems, manage data entry, process files, maintain records, print reports, and support office IT tasks","Computer Operations,MS Office,Data Entry,Typing,File Management,Email,Printing,Basic Troubleshooting,Record Management,Excel,Documentation",12th Pass|Diploma Computer Applications|DCA|Any Graduate|BCA,0,6,"computer operator,data entry,EDP operator,office computer,MS Office,typing"
MIS Executive,Information Technology,"MIS Analyst|Reporting Executive|Data Reporting Executive|Management Information System Executive","Prepare reports, maintain data, analyze business information, dashboards, and support management reporting","MS Excel,Advanced Excel,MIS Reporting,Data Analysis,Dashboard Creation,SQL,Power BI,Data Entry,Reporting,Data Validation,Google Sheets,MS Office",BCA|BSc IT|BCom|Any Graduate|MBA IT,0,8,"MIS executive,MIS reporting,Excel reports,dashboard,data analysis,management information system"
IT Consultant,Information Technology,"Technology Consultant|IT Advisor|Systems Consultant|Technical Consultant","Advise organizations on IT systems, infrastructure, software, security, processes, and technology improvements","IT Consulting,System Analysis,IT Infrastructure,Networking,Software Evaluation,Cybersecurity,Project Management,Documentation,Communication,Problem Solving,Vendor Management",BTech Computer Science|MCA|MBA IT|MTech Computer Science|BSc IT,3,15,"IT consultant,technology consultant,systems consultant,IT advisory,technical consultant"
Data Entry Operator,Information Technology,"DEO|Data Operator|Back Office Executive|Computer Data Entry Operator","Enter, verify, update, and maintain data in computer systems, spreadsheets, databases, and business applications","Data Entry,Typing,MS Excel,MS Word,Google Sheets,Accuracy,Record Management,Computer Basics,Email,Documentation,Database Entry",12th Pass|DCA|Diploma Computer Applications|Any Graduate,0,5,"data entry,data operator,DEO,back office,typing,records,computer operator"
Commerce Executive,Commerce,"Commercial Executive|Commerce Officer|Business Executive|Office Executive","Support business operations, commercial documentation, billing, coordination, records, and day-to-day commerce-related activities","MS Excel,MS Office,Billing,Documentation,Communication,Business Operations,Record Management,Email,Coordination,Data Entry,Basic Accounting",BCom|BBA|BVoc Retail Management|MCom|Any Graduate,0,6,"commerce,commercial executive,business operations,billing,documentation,office executive"
Accounts Executive,Commerce,"Account Executive|Junior Accountant|Accounts Assistant|Finance Executive","Manage accounting entries, invoices, ledgers, payments, receipts, GST records, and financial documentation","Accounting,Tally Prime,Tally ERP,MS Excel,GST,TDS,Bookkeeping,Ledger Management,Invoicing,Bank Reconciliation,Accounts Payable,Accounts Receivable",BCom|MCom|BBA Finance|MBA Finance|Diploma Accounting,0,8,"accounts executive,accounting,bookkeeping,Tally,GST,TDS,ledger,invoicing"
Finance Executive,Commerce,"Financial Executive|Finance Officer|Junior Finance Analyst|Finance Coordinator","Support budgeting, financial reporting, expense tracking, payment processing, reconciliation, and finance operations","Financial Reporting,MS Excel,Accounting,Budgeting,Reconciliation,Taxation,Invoice Processing,Tally,Data Analysis,Communication,MS Office",BCom|BBA Finance|MCom|MBA Finance|CA Inter,0,8,"finance executive,finance operations,budgeting,financial reporting,reconciliation"
Business Development Executive,Commerce,"BDE|Sales Executive|Business Development Associate|Client Acquisition Executive","Generate leads, approach clients, develop business opportunities, maintain relationships, and support revenue growth","Sales,Lead Generation,Client Relationship,Communication,Negotiation,CRM,Market Research,Email Marketing,Presentation Skills,MS Office",BBA|BCom|MBA Marketing|BVoc Retail Management|Any Graduate,0,8,"business development,BDE,sales,lead generation,client acquisition,business growth"
Sales Executive,Commerce,"Retail Sales Executive|Field Sales Executive|Sales Associate|Sales Representative","Sell products or services, handle customers, achieve sales targets, maintain records, and support customer satisfaction","Sales,Customer Service,Communication,Product Knowledge,Negotiation,CRM,MS Excel,Target Achievement,Lead Follow-up,Relationship Management",BBA|BCom|BVoc Retail Management|12th Pass|Any Graduate,0,8,"sales executive,retail sales,field sales,customer handling,target sales"
Marketing Executive,Commerce,"Marketing Associate|Brand Executive|Digital Marketing Executive|Promotion Executive","Plan and execute marketing campaigns, promotions, market research, customer engagement, and brand communication","Marketing,Market Research,Digital Marketing,Social Media,Brand Promotion,Communication,MS Office,Content Planning,Customer Engagement,Campaign Management",BBA|BCom|MBA Marketing|BVoc Retail Management|Mass Communication,0,8,"marketing executive,brand promotion,campaigns,digital marketing,market research"
Retail Store Manager,Retail Management,"Store Manager|Retail Manager|Outlet Manager|Shop Manager","Manage retail store operations, staff, sales targets, inventory, billing, merchandising, and customer service","Retail Operations,Store Management,Inventory Management,Customer Service,Sales,POS Billing,Team Management,Visual Merchandising,Stock Management,MS Excel",BVoc Retail Management|BBA Retail|BCom|MBA Retail Management|Any Graduate,2,10,"retail manager,store manager,outlet manager,retail operations,inventory,sales"
Retail Sales Associate,Retail Management,"Retail Executive|Store Associate|Customer Service Associate|Sales Advisor","Assist customers, explain products, process billing, manage shelves, maintain stock, and support retail sales","Customer Service,Sales,Product Knowledge,POS Billing,Communication,Stock Management,Visual Merchandising,Inventory Basics,Complaint Handling",BVoc Retail Management|BBA|BCom|12th Pass|Any Graduate,0,5,"retail sales associate,store associate,customer service,POS billing,retail sales"
Inventory Executive,Retail Management,"Stock Executive|Inventory Controller|Warehouse Executive|Store Inventory Executive","Maintain stock records, track inventory movement, coordinate with suppliers, support audits, and prevent stock mismatch","Inventory Management,Stock Control,MS Excel,ERP,Warehouse Operations,Data Entry,Vendor Coordination,Stock Audit,Documentation,Reporting",BVoc Retail Management|BCom|BBA|Diploma Logistics|Any Graduate,0,7,"inventory executive,stock control,warehouse,stock audit,inventory management"
Merchandiser,Retail Management,"Retail Merchandiser|Visual Merchandiser|Product Merchandiser|Store Merchandiser","Plan product displays, manage product placement, support promotions, track sales trends, and improve store presentation","Visual Merchandising,Product Display,Retail Operations,Sales Analysis,Customer Behavior,Inventory Coordination,Creativity,MS Excel,Store Layout,Promotion Planning",BVoc Retail Management|BBA Retail|BCom|Fashion Merchandising|Any Graduate,0,8,"merchandiser,visual merchandising,product display,retail merchandising,store layout"
E-commerce Executive,Commerce,"Online Sales Executive|Marketplace Executive|Ecommerce Associate|Catalog Executive","Manage online product listings, orders, marketplace operations, pricing, promotions, customer queries, and reports","E-commerce,Marketplace Management,Amazon Seller Central,Flipkart Seller Hub,Product Listing,Order Processing,MS Excel,Customer Support,Catalog Management,Digital Marketing",BCom|BBA|BVoc Retail Management|Digital Marketing Course|Any Graduate,0,7,"ecommerce executive,online sales,marketplace,product listing,catalog,online retail"
Banking Associate,Commerce,"Banking Executive|Relationship Executive|Bank Officer|Financial Services Associate","Support banking operations, customer service, account opening, documentation, financial products, and client relationships","Banking Operations,Customer Service,Documentation,KYC,Communication,Financial Products,MS Excel,Relationship Management,Compliance,Basic Accounting",BCom|BBA Finance|MCom|MBA Finance|Any Graduate,0,8,"banking associate,banking executive,KYC,financial services,customer service"
Tax Assistant,Commerce,"Tax Executive|GST Executive|Income Tax Assistant|Taxation Associate","Assist with GST filing, income tax work, tax documentation, returns, reconciliations, and compliance records","GST,Income Tax,TDS,Tax Filing,Accounting,Tally,MS Excel,Compliance,Reconciliation,Bookkeeping,Documentation",BCom|MCom|CA Inter|BBA Finance|Diploma Taxation,0,6,"tax assistant,GST executive,income tax,TDS,tax filing,taxation"
Business Analyst,Commerce,"Junior Business Analyst|Process Analyst|Business Operations Analyst|Management Analyst","Analyze business processes, prepare reports, gather requirements, study data, and support business improvement decisions","Business Analysis,MS Excel,Data Analysis,Requirement Gathering,Reporting,Power BI,SQL,Business Process,Communication,Documentation,Problem Solving",BBA|BCom|MBA|BVoc Retail Management|BCA,0,8,"business analyst,process analyst,business analysis,reporting,requirements,data analysis"
Software Developer,Software Development,"BVoc Software Developer|Junior Software Developer|Application Developer|Programmer","Build, test, and maintain software applications, websites, APIs, databases, and business systems","HTML,CSS,JavaScript,Python,Java,C++,SQL,Git,Data Structures,Algorithms,API,Nodejs,React,Flask,Django,Software Testing",BVoc Software Development|BCA|BTech Computer Science|MCA|Diploma Software Engineering,0,8,"BVoc software development,software developer,programmer,web application,API,database"
Junior Web Developer,Software Development,"Frontend Developer|Web Programmer|Website Developer|Trainee Web Developer","Develop and maintain websites, responsive pages, frontend features, and web application components","HTML,CSS,JavaScript,React,Bootstrap,Git,Responsive Design,API Integration,SQL,Nodejs,Basic UI Design,Debugging",BVoc Software Development|BCA|BTech Computer Science|Diploma Web Development|MCA,0,5,"junior web developer,frontend,website development,BVoc software,HTML,CSS,JavaScript"
Application Support Executive,Software Development,"Software Support Executive|Application Support Engineer|Technical Support Executive|Product Support Executive","Support users of software applications, troubleshoot issues, document bugs, coordinate with development teams, and maintain service quality","Application Support,Troubleshooting,SQL,Ticketing Tools,Software Testing,Documentation,Customer Support,API Basics,MS Excel,Communication,Problem Solving",BVoc Software Development|BCA|BSc IT|Diploma IT|BTech Computer Science,0,6,"application support,software support,technical support,SQL,bug reporting,BVoc software"
Software Tester,Software Development,"QA Tester|Manual Tester|Test Engineer|Quality Analyst","Test software applications, prepare test cases, report bugs, verify fixes, and support software quality assurance","Manual Testing,Test Cases,Bug Reporting,SDLC,STLC,Jira,Regression Testing,Functional Testing,SQL,API Testing,Basic Automation,Documentation",BVoc Software Development|BCA|BTech Computer Science|MCA|Software Testing Certification,0,6,"software tester,QA tester,manual testing,test cases,bug reporting,BVoc software"
Agriculture Officer,Agriculture,"Agricultural Officer|Agriculture Field Officer|Agriculture Extension Officer|Farm Officer","Support farmers, promote agricultural schemes, inspect crops, guide crop production, and coordinate agriculture development activities","Crop Production,Soil Science,Agronomy,Plant Protection,Farm Management,Agriculture Extension,Farmer Training,Field Inspection,MS Office,Communication",BSc Agriculture|MSc Agriculture|Diploma Agriculture,0,10,"agriculture officer,agricultural officer,field officer,crop production,farm advisory"
Agronomist,Agriculture,"Crop Scientist|Agronomy Specialist|Crop Consultant|Field Agronomist","Study crops, soil, climate, and farming methods to improve crop yield, quality, and sustainable production","Agronomy,Crop Management,Soil Fertility,Irrigation Management,Weed Management,Fertilizer Planning,Field Trials,Data Collection,Farm Advisory,Research",BSc Agriculture|MSc Agriculture,1,12,"agronomist,crop science,crop management,soil fertility,field trials"
Agriculture Extension Officer,Agriculture,"Extension Officer|Farm Extension Officer|Rural Agriculture Officer|Farmer Advisor","Educate farmers about modern farming practices, government schemes, crop protection, soil health, and productivity improvement","Agriculture Extension,Farmer Training,Crop Advisory,Communication,Rural Development,Soil Health,Plant Protection,Field Visits,Documentation,MS Office",BSc Agriculture|MSc Agriculture,0,10,"agriculture extension,farmer training,rural agriculture,crop advisory,government schemes"
Soil Scientist,Agriculture,"Soil Analyst|Soil Testing Officer|Soil Fertility Specialist|Soil Conservationist","Analyze soil properties, fertility, nutrients, pH, and recommend soil improvement and fertilizer management practices","Soil Science,Soil Testing,Nutrient Management,Fertilizer Recommendation,Soil Conservation,Lab Testing,Data Analysis,Sampling,Research,Report Writing",BSc Agriculture|MSc Agriculture|MSc Soil Science,1,12,"soil scientist,soil testing,soil fertility,nutrient management,soil conservation"
Plant Pathologist,Agriculture,"Plant Disease Specialist|Crop Disease Expert|Plant Protection Officer|Pathology Researcher","Identify, study, and manage plant diseases affecting crops, fruits, vegetables, and field production","Plant Pathology,Disease Diagnosis,Plant Protection,Crop Diseases,Fungicide Management,Lab Testing,Microscopy,Field Survey,Research,IPM",BSc Agriculture|MSc Agriculture|MSc Plant Pathology,1,12,"plant pathology,plant disease,crop disease,plant protection,disease diagnosis"
Entomologist,Agriculture,"Agricultural Entomologist|Pest Management Specialist|Insect Scientist|Crop Pest Expert","Study insects and pests affecting crops and recommend pest control and integrated pest management methods","Entomology,Pest Identification,Integrated Pest Management,Insect Biology,Pesticide Management,Field Survey,Crop Protection,Lab Work,Research,Farmer Advisory",BSc Agriculture|MSc Agriculture|MSc Entomology,1,12,"entomologist,pest management,crop pest,insect science,IPM,crop protection"
Horticulture Officer,Agriculture,"Horticulturist|Horticulture Specialist|Fruit Crop Officer|Vegetable Crop Officer","Manage and advise on cultivation of fruits, vegetables, flowers, nursery crops, and protected cultivation practices","Horticulture,Fruit Production,Vegetable Production,Floriculture,Nursery Management,Protected Cultivation,Irrigation,Fertilizer Management,Plant Propagation,Field Advisory",BSc Agriculture|MSc Agriculture|BSc Horticulture|MSc Horticulture,0,10,"horticulture officer,horticulturist,fruit crops,vegetable crops,nursery management"
Seed Production Officer,Agriculture,"Seed Officer|Seed Quality Officer|Seed Production Executive|Seed Certification Officer","Manage seed production, processing, quality testing, certification, storage, and distribution activities","Seed Production,Seed Testing,Seed Certification,Quality Control,Crop Inspection,Seed Processing,Storage Management,Documentation,Field Supervision,Lab Testing",BSc Agriculture|MSc Agriculture,0,10,"seed officer,seed production,seed certification,seed quality,seed testing"
Agriculture Research Assistant,Agriculture,"Research Assistant|Field Research Assistant|Agriculture Lab Assistant|Crop Research Assistant","Support agricultural research trials, data collection, lab testing, crop experiments, and research documentation","Research Methods,Field Trials,Data Collection,Lab Testing,Crop Science,Soil Sampling,MS Excel,Report Writing,Statistical Basics,Documentation",BSc Agriculture|MSc Agriculture,0,8,"agriculture research,research assistant,field trials,crop research,lab assistant"
Farm Manager,Agriculture,"Agricultural Farm Manager|Estate Farm Manager|Farm Supervisor|Farm Operations Manager","Manage farm operations, crop planning, workers, machinery, irrigation, inputs, harvesting, and farm productivity","Farm Management,Crop Planning,Irrigation Management,Farm Machinery,Labour Management,Input Management,Harvest Planning,Record Keeping,Budgeting,Leadership",BSc Agriculture|MSc Agriculture,2,12,"farm manager,farm operations,crop planning,irrigation,farm supervision"
Agriculture Sales Executive,Agriculture,"Agri Sales Executive|Agriculture Marketing Executive|Agri Input Sales Officer|Field Sales Officer","Sell agricultural inputs such as seeds, fertilizers, pesticides, equipment, and provide product guidance to farmers","Agri Sales,Farmer Relationship,Product Knowledge,Seeds,Fertilizers,Pesticides,Communication,Field Visits,Negotiation,Market Development,CRM",BSc Agriculture|MSc Agriculture|BBA Agriculture,0,8,"agriculture sales,agri sales,seeds,fertilizers,pesticides,farmer relationship"
Agri Business Manager,Agriculture,"Agribusiness Manager|Agri Marketing Manager|Agriculture Business Development Manager|Agri Operations Manager","Manage agribusiness operations, marketing, procurement, supply chain, farmer networks, sales, and business growth","Agribusiness,Agri Marketing,Supply Chain,Procurement,Sales Management,Farmer Network,Market Research,Team Management,Communication,MS Excel",BSc Agriculture|MSc Agriculture|MBA Agribusiness,2,12,"agribusiness manager,agri marketing,agri operations,procurement,supply chain"
Crop Consultant,Agriculture,"Agriculture Consultant|Crop Advisor|Farm Consultant|Agri Consultant","Advise farmers and agribusinesses on crop selection, soil health, pest control, irrigation, and yield improvement","Crop Advisory,Agronomy,Soil Health,Plant Protection,Irrigation,Fertilizer Planning,IPM,Farm Visits,Problem Solving,Communication",BSc Agriculture|MSc Agriculture,1,12,"crop consultant,agriculture consultant,crop advisor,farm consultant,yield improvement"
Irrigation Specialist,Agriculture,"Water Management Specialist|Irrigation Officer|Micro Irrigation Specialist|Farm Water Advisor","Plan and manage irrigation systems, water use efficiency, drip irrigation, sprinkler systems, and farm water management","Irrigation Management,Drip Irrigation,Sprinkler Irrigation,Water Management,Soil Moisture,Farm Planning,Field Survey,Technical Support,MS Excel,Documentation",BSc Agriculture|MSc Agriculture|BTech Agriculture Engineering,1,10,"irrigation specialist,water management,drip irrigation,sprinkler,farm water"
Agriculture Quality Control Officer,Agriculture,"Agri QC Officer|Quality Assurance Officer|Food Grain Quality Officer|Agri Quality Analyst","Inspect agricultural produce, seeds, inputs, storage, and processing quality as per standards and company requirements","Quality Control,Quality Assurance,Sampling,Inspection,Agri Produce Testing,Seed Testing,Food Safety,Documentation,Lab Testing,MS Excel",BSc Agriculture|MSc Agriculture|Food Technology,0,10,"agriculture quality control,agri QC,quality assurance,seed testing,produce inspection"
